source airport,destination airport,aircraft type,distance (weighted in km),number of passengers for 2% market share (flight demand), fuel (gallons)
Dallas/Fort Worth International Airport,Denver International Airport,Boeing 747-400,1028.1176084663805,16,2904.451122849823
Dallas/Fort Worth International Airport,O'Hare International Airport,Boeing 737-600,1300.1476836641548,51,1469.176432187304
Dallas/Fort Worth International Airport,O'Hare International Airport,Boeing 767-800,1300.1476836641548,51,1795.6600837844828
Dallas/Fort Worth International Airport,O'Hare International Airport,Airbus A200-100,1300.1476836641548,51,1346.7450628383622
Dallas/Fort Worth International Airport,O'Hare International Airport,Airbus A220-300,1300.1476836641548,51,1224.31369348942
Dallas/Fort Worth International Airport,O'Hare International Airport,Boeing 747-400,1300.1476836641548,51,3672.94108046826
Dallas/Fort Worth International Airport,Los Angeles International Airport,Boeing 737-600,1967.2730576077568,97,2223.0330048112965
Dallas/Fort Worth International Airport,Los Angeles International Airport,Boeing 767-800,1967.2730576077568,97,2717.040339213807
Dallas/Fort Worth International Airport,Los Angeles International Airport,Airbus A200-100,1967.2730576077568,97,2037.7802544103552
Dallas/Fort Worth International Airport,Los Angeles International Airport,Airbus A220-300,1967.2730576077568,97,1852.5275040094134
Dallas/Fort Worth International Airport,Los Angeles International Airport,Boeing 747-400,1967.2730576077568,97,5557.582512028241
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,Boeing 737-600,2260.6696187991233,35,2554.5732739692903
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,Boeing 767-800,2260.6696187991233,35,3122.2562237402435
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,Airbus A200-100,2260.6696187991233,35,2341.6921678051826
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,Airbus A220-300,2260.6696187991233,35,2128.811061641075
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,Boeing 747-400,2260.6696187991233,35,6386.433184923225
Dallas/Fort Worth International Airport,Harry Reid International Airport,Boeing 737-600,1683.0256760362852,12,1901.831375824945
Dallas/Fort Worth International Airport,Harry Reid International Airport,Boeing 767-800,1683.0256760362852,12,2324.4605704527107
Dallas/Fort Worth International Airport,Harry Reid International Airport,Airbus A200-100,1683.0256760362852,12,1743.3454278395332
Dallas/Fort Worth International Airport,Harry Reid International Airport,Airbus A220-300,1683.0256760362852,12,1584.8594798541208
Dallas/Fort Worth International Airport,Harry Reid International Airport,Boeing 747-400,1683.0256760362852,12,4754.578439562362
Dallas/Fort Worth International Airport,Orlando International Airport,Boeing 737-600,1596.0031707087405,14,1803.4953056203633
Dallas/Fort Worth International Airport,Orlando International Airport,Boeing 767-800,1596.0031707087405,14,2204.272040202666
Dallas/Fort Worth International Airport,Orlando International Airport,Airbus A200-100,1596.0031707087405,14,1653.2040301519999
Dallas/Fort Worth International Airport,Orlando International Airport,Airbus A220-300,1596.0031707087405,14,1502.912754683636
Dallas/Fort Worth International Airport,Orlando International Airport,Boeing 747-400,1596.0031707087405,14,4508.738264050908
Dallas/Fort Worth International Airport,Miami International Airport,Boeing 737-600,1820.0906930904418,16,2056.715851845236
Dallas/Fort Worth International Airport,Miami International Airport,Boeing 767-800,1820.0906930904418,16,2513.7638189219556
Dallas/Fort Worth International Airport,Miami International Airport,Airbus A200-100,1820.0906930904418,16,1885.3228641914668
Dallas/Fort Worth International Airport,Miami International Airport,Airbus A220-300,1820.0906930904418,16,1713.9298765376968
Dallas/Fort Worth International Airport,Miami International Airport,Boeing 747-400,1820.0906930904418,16,5141.78962961309
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,Boeing 737-600,1515.2137428531605,14,1712.2026587413532
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,Boeing 767-800,1515.2137428531605,14,2092.692138461654
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,Airbus A200-100,1515.2137428531605,14,1569.5191038462406
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,Airbus A220-300,1515.2137428531605,14,1426.8355489511275
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,Boeing 747-400,1515.2137428531605,14,4280.506646853382
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,Boeing 737-600,2638.8836392531502,21,2981.957895082378
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,Boeing 767-800,2638.8836392531502,21,3644.6152051006843
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,Airbus A200-100,2638.8836392531502,21,2733.461403825513
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,Airbus A220-300,2638.8836392531502,21,2484.964912568648
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,Boeing 747-400,2638.8836392531502,21,7454.894737705944
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,Boeing 737-600,1385.9697490152816,26,1566.155996401245
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,Boeing 767-800,1385.9697490152816,26,1914.1906622681884
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,Airbus A200-100,1385.9697490152816,26,1435.6429967011413
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,Airbus A220-300,1385.9697490152816,26,1305.1299970010373
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,Boeing 747-400,1385.9697490152816,26,3915.389991003112
Dallas/Fort Worth International Airport,Newark Liberty International Airport,Boeing 737-600,2229.4014413110053,35,2519.2400037414604
Dallas/Fort Worth International Airport,Newark Liberty International Airport,Boeing 767-800,2229.4014413110053,35,3079.071115684007
Dallas/Fort Worth International Airport,Newark Liberty International Airport,Airbus A200-100,2229.4014413110053,35,2309.3033367630055
Dallas/Fort Worth International Airport,Newark Liberty International Airport,Airbus A220-300,2229.4014413110053,35,2099.36666978455
Dallas/Fort Worth International Airport,Newark Liberty International Airport,Boeing 747-400,2229.4014413110053,35,6298.10000935365
Dallas/Fort Worth International Airport,San Francisco International Airport,Boeing 737-600,2329.6948759166203,37,2632.5723215058706
Dallas/Fort Worth International Airport,San Francisco International Airport,Boeing 767-800,2329.6948759166203,37,3217.58839295162
Dallas/Fort Worth International Airport,San Francisco International Airport,Airbus A200-100,2329.6948759166203,37,2413.191294713715
Dallas/Fort Worth International Airport,San Francisco International Airport,Airbus A220-300,2329.6948759166203,37,2193.8102679215585
Dallas/Fort Worth International Airport,San Francisco International Airport,Boeing 747-400,2329.6948759166203,37,6581.430803764676
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,Boeing 737-600,361.67788660179014,38,408.69866840136746
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,Boeing 767-800,361.67788660179014,38,499.5205947127825
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,Airbus A200-100,361.67788660179014,38,374.6404460345869
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,Airbus A220-300,361.67788660179014,38,340.5822236678062
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,Boeing 747-400,361.67788660179014,38,1021.7466710034186
Dallas/Fort Worth International Airport,Logan International Airport,Boeing 737-600,2540.808933315075,26,2871.132757008955
Dallas/Fort Worth International Airport,Logan International Airport,Boeing 767-800,2540.808933315075,26,3509.1622585665014
Dallas/Fort Worth International Airport,Logan International Airport,Airbus A200-100,2540.808933315075,26,2631.871693924876
Dallas/Fort Worth International Airport,Logan International Airport,Airbus A220-300,2540.808933315075,26,2392.610630840796
Dallas/Fort Worth International Airport,Logan International Airport,Boeing 747-400,2540.808933315075,26,7177.831892522388
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 737-600,1816.0370521554134,16,2052.135207814468
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 767-800,1816.0370521554134,16,2508.165253995461
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,Airbus A200-100,1816.0370521554134,16,1881.1239404965959
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,Airbus A220-300,1816.0370521554134,16,1710.112673178723
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 747-400,1816.0370521554134,16,5130.33801953617
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,Boeing 737-600,1383.5928465906327,19,1563.4700792029298
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,Boeing 767-800,1383.5928465906327,19,1910.9078745813586
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,Airbus A200-100,1383.5928465906327,19,1433.1809059360191
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,Airbus A220-300,1383.5928465906327,19,1302.891732669108
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,Boeing 747-400,1383.5928465906327,19,3908.675198007324
