Origin Airport,Destination Airport,Flight Time (Minutes)
Seattle-Tacoma International Airport,Minneapolis-Saint Paul International Airport,238.79222494550245
Seattle-Tacoma International Airport,LaGuardia Airport,374.79681459900917
Seattle-Tacoma International Airport,Detroit Metropolitan Airport,312.5110093087626
Seattle-Tacoma International Airport,Philadelphia International Airport,370.38307115304127
Seattle-Tacoma International Airport,Salt Lake City International Airport,149.2019252343433
Seattle-Tacoma International Airport,Ronald Reagan Washington National Airport,364.0214069090027
Seattle-Tacoma International Airport,San Diego International Airport,195.17085621858217
Seattle-Tacoma International Airport,Baltimore/Washington International Airport,364.8235375296339
Seattle-Tacoma International Airport,Tampa International Airport,389.128103778094
Seattle-Tacoma International Airport,Austin-Bergstrom International Airport,292.9740154697621
Seattle-Tacoma International Airport,Washington Dulles International Airport,361.05739534765075
Seattle-Tacoma International Airport,Nashville International Airport,319.1480414912681
Seattle-Tacoma International Airport,Paris Charles de Gaulle Airport,715.667658350647
Phoenix Sky Harbor International Airport,Hartsfield-Jackson Atlanta International Airport,271.2707861642591
Phoenix Sky Harbor International Airport,Dallas/Fort Worth International Airport,173.67888366370846
Phoenix Sky Harbor International Airport,Denver International Airport,140.36120127968857
Phoenix Sky Harbor International Airport,O'Hare International Airport,246.44718880189208
Phoenix Sky Harbor International Airport,Los Angeles International Airport,109.00568212395888
Phoenix Sky Harbor International Airport,John F. Kennedy International Airport,341.6140207046884
Phoenix Sky Harbor International Airport,Harry Reid International Airport,88.37342026140814
Phoenix Sky Harbor International Airport,Orlando International Airport,302.68226644605164
Phoenix Sky Harbor International Airport,Miami International Airport,318.5675282355142
Phoenix Sky Harbor International Airport,Charlotte Douglas International Airport,292.9921318697264
Phoenix Sky Harbor International Airport,Seattle-Tacoma International Airport,200.00637789216444
Phoenix Sky Harbor International Airport,Newark Liberty International Airport,338.9528420995823
Phoenix Sky Harbor International Airport,San Francisco International Airport,143.7674625304831
Phoenix Sky Harbor International Airport,George Bush Intercontinental Airport,189.5340439836816
Phoenix Sky Harbor International Airport,Logan International Airport,360.4363637316234
Phoenix Sky Harbor International Airport,Fort Lauderdale-Hollywood International Airport,318.5545128634102
Phoenix Sky Harbor International Airport,Minneapolis-Saint Paul International Airport,223.54241535755594
Phoenix Sky Harbor International Airport,LaGuardia Airport,341.0025781838285
Phoenix Sky Harbor International Airport,Detroit Metropolitan Airport,279.984220922749
Phoenix Sky Harbor International Airport,Philadelphia International Airport,331.5963238650758
Phoenix Sky Harbor International Airport,Salt Lake City International Airport,126.63295613451074
Phoenix Sky Harbor International Airport,Ronald Reagan Washington National Airport,319.22588566225113
Phoenix Sky Harbor International Airport,San Diego International Airport,94.45619426032378
Phoenix Sky Harbor International Airport,Baltimore/Washington International Airport,321.79519866586213
