source airport, destination airport, distance (weighted km), number of passengers, aircraft type, expected time, ticket cost, net profit
Miami International Airport,Paris Charles de Gaulle Airport,7623.157902813339,27,Boeing 737-600,593.0740070705315,1605.339916105306,-13966.45727011616
Miami International Airport,Paris Charles de Gaulle Airport,7623.157902813339,27,Boeing 767-800,593.0740070705315,1245.8252867054546,-37001.011015152
Miami International Airport,Paris Charles de Gaulle Airport,7623.157902813339,27,Airbus A200-100,635.9079696053869,1368.8910224270167,-18480.028802764726
Miami International Airport,Paris Charles de Gaulle Airport,7623.157902813339,27,Airbus A220-300,635.9079696053869,1008.8651910583231,-21186.16901222479
Charlotte Douglas International Airport,Hartsfield-Jackson Atlanta International Airport,364.07222496321737,11,Boeing 737-600,86.9060780767624,183.3626727914573,-4529.058017948994
Charlotte Douglas International Airport,Hartsfield-Jackson Atlanta International Airport,364.07222496321737,11,Boeing 767-800,86.9060780767624,126.6765303936293,-5789.117438988859
Charlotte Douglas International Airport,Hartsfield-Jackson Atlanta International Airport,364.07222496321737,11,Airbus A200-100,86.74449757508626,159.42499806195642,-4703.037442827715
Charlotte Douglas International Airport,Hartsfield-Jackson Atlanta International Airport,364.07222496321737,11,Airbus A220-300,86.74449757508626,127.53554546276085,-4718.815182122151
Charlotte Douglas International Airport,Dallas/Fort Worth International Airport,1494.8656137723624,14,Boeing 737-600,170.77550237501507,404.8730030363227,-8785.744165888202
Charlotte Douglas International Airport,Dallas/Fort Worth International Airport,1494.8656137723624,14,Boeing 767-800,170.77550237501507,301.0133643826437,-12853.270659138885
Charlotte Douglas International Airport,Dallas/Fort Worth International Airport,1494.8656137723624,14,Airbus A200-100,177.1422328405393,347.83112040797903,-9217.524690811444
Charlotte Douglas International Airport,Dallas/Fort Worth International Airport,1494.8656137723624,14,Airbus A220-300,177.1422328405393,264.8258022291097,-9004.07727578973
Charlotte Douglas International Airport,Denver International Airport,2129.5619929853115,5,Boeing 737-600,214.0109505502841,529.2032352043228,-16246.53932077271
Charlotte Douglas International Airport,Denver International Airport,2129.5619929853115,5,Boeing 767-800,214.0109505502841,398.86586192227344,-20621.365061381537
Charlotte Douglas International Airport,Denver International Airport,2129.5619929853115,5,Airbus A200-100,224.18000797983893,453.58048617010513,-16102.107259038734
Charlotte Douglas International Airport,Denver International Airport,2129.5619929853115,5,Airbus A220-300,224.18000797983893,341.88464404156804,-14701.039693787427
Charlotte Douglas International Airport,O'Hare International Airport,961.4874794241326,17,Boeing 737-600,134.7510929970703,300.3899313681281,-5617.291716583995
Charlotte Douglas International Airport,O'Hare International Airport,961.4874794241326,17,Boeing 767-800,134.7510929970703,218.7813172363795,-8685.618294284264
Charlotte Douglas International Airport,O'Hare International Airport,961.4874794241326,17,Airbus A200-100,137.92247190761717,258.9628027902619,-6085.625865571154
Charlotte Douglas International Airport,O'Hare International Airport,961.4874794241326,17,Airbus A220-300,137.92247190761717,200.06806510142658,-6202.110018144224
Charlotte Douglas International Airport,Los Angeles International Airport,3363.494829306384,33,Boeing 737-600,302.90622277169257,770.9174800685511,-2081.4771961850856
Charlotte Douglas International Airport,Los Angeles International Airport,3363.494829306384,33,Boeing 767-800,302.90622277169257,589.1039250098605,-13961.763022733689
Charlotte Douglas International Airport,Los Angeles International Airport,3363.494829306384,33,Airbus A200-100,320.2214770035869,659.1710946998485,-4943.783210248861
Charlotte Douglas International Airport,Los Angeles International Airport,3363.494829306384,33,Airbus A220-300,320.2214770035869,491.69711872304293,-7375.456780845645
Charlotte Douglas International Airport,John F. Kennedy International Airport,875.5515945431964,12,Boeing 737-600,126.58789888528986,283.5560106640924,-6720.277452738989
Charlotte Douglas International Airport,John F. Kennedy International Airport,875.5515945431964,12,Boeing 767-800,126.58789888528986,205.53239816375878,-9187.298197920018
Charlotte Douglas International Airport,John F. Kennedy International Airport,875.5515945431964,12,Airbus A200-100,129.244454735611,244.64467270476302,-6972.373172085746
Charlotte Douglas International Airport,John F. Kennedy International Airport,875.5515945431964,12,Airbus A220-300,129.244454735611,189.63454133173784,-6826.843487942562
Charlotte Douglas International Airport,Harry Reid International Airport,3036.54425028658,4,Boeing 737-600,280.63438496380405,706.8713586027222,-22407.822067706293
Charlotte Douglas International Airport,Harry Reid International Airport,3036.54425028658,4,Boeing 767-800,280.63438496380405,538.6972553376805,-28389.34535629576
Charlotte Douglas International Airport,Harry Reid International Airport,3036.54425028658,4,Airbus A200-100,295.99094990231686,604.6965183523697,-22071.422919861492
