source airport,destination airport,distance (weighted in km),number of passengers for 2% market share (flight demand),Fuel for Boeing 737-600 (Gallons),Fuel for Boeing 767-800 (Gallons),Fuel for Airbus A200-100 (Gallons),Fuel for Airbus A220-300 (Gallons)
Los Angeles International Airport,Tampa International Airport,3524.742680755583,43,5177.880654254204,6472.350817817755,4996.200631297917,4314.900545211836
Los Angeles International Airport,Austin-Bergstrom International Airport,2014.8758859178172,33,2959.871915580725,3699.8398944759056,2856.016760648068,2466.5599296506034
Los Angeles International Airport,Washington Dulles International Airport,3738.6419327062627,29,5492.100697800036,6865.125872250043,5299.395410157929,4576.7505815000295
Los Angeles International Airport,Nashville International Airport,2927.1299292089443,28,4299.981815889742,5374.977269862177,4149.105260946244,3583.3181799081185
Los Angeles International Airport,Paris Charles de Gaulle Airport,9484.354522903408,179,13932.607356092922,17415.759195116152,13443.743940089662,11610.506130077434
John F. Kennedy International Airport,Hartsfield-Jackson Atlanta International Airport,1217.1226393876548,28,1787.9647790315287,2234.955973789411,1725.2291727497209,1489.9706491929403
John F. Kennedy International Airport,Dallas/Fort Worth International Airport,2215.6694092085722,35,3254.8395185842637,4068.5493982303296,3140.634623195342,2712.366265486886
John F. Kennedy International Airport,Denver International Airport,2582.319822317422,14,3793.45247642539,4741.815595531738,3660.348880761342,3161.2103970211583
John F. Kennedy International Airport,O'Hare International Airport,1182.9920418042907,44,1737.8266052834374,2172.2832566042966,1676.8502331682291,1448.1888377361977
John F. Kennedy International Airport,Los Angeles International Airport,3907.4853293722476,85,5740.13325971402,7175.166574642525,5538.725075162652,4783.444383095016
John F. Kennedy International Airport,Harry Reid International Airport,3554.1450472285005,10,5221.073011353241,6526.341264191551,5037.877467095233,4350.894176127701
John F. Kennedy International Airport,Orlando International Airport,1513.643420868932,12,2223.5566383746104,2779.4457979682634,2145.537107203572,1852.9638653121754
John F. Kennedy International Airport,Miami International Airport,1745.1188931866213,14,2563.5963174672106,3204.495396834013,2473.645569485905,2136.3302645560084
John F. Kennedy International Airport,Charlotte Douglas International Airport,868.7188335558578,12,1276.1562615092548,1595.1953268865689,1231.3788488247199,1063.4635512577124
John F. Kennedy International Airport,Seattle-Tacoma International Airport,3822.675544638728,18,5615.546876128987,7019.433595161233,5418.510143633233,4679.622396774154
John F. Kennedy International Airport,Phoenix Sky Harbor International Airport,3407.907460091041,22,5006.248599489636,6257.810749362044,4830.590753893509,4171.87383290803
John F. Kennedy International Airport,Newark Liberty International Airport,-1,31,-1.4690095485620658,-1.836261935702582,-1.4174653538756774,-1.2241746238017213
John F. Kennedy International Airport,San Francisco International Airport,4079.0335052182354,33,5992.13916807018,7490.1739600877245,5781.888670944912,4993.44930672515
John F. Kennedy International Airport,George Bush Intercontinental Airport,2256.6929446537033,33,3315.103483868935,4143.879354836169,3198.7840633823066,2762.586236557446
John F. Kennedy International Airport,Logan International Airport,300.42038247496686,23,441.32041043839416,551.6505130479927,425.8354837563453,367.7670086986618
John F. Kennedy International Airport,Fort Lauderdale-Hollywood International Airport,1712.0832542588491,14,2515.066648439464,3143.8333105493302,2426.818695862641,2095.888873699553
John F. Kennedy International Airport,Minneapolis-Saint Paul International Airport,1639.9731405960433,17,2409.1362029209067,3011.420253651133,2324.605108081577,2007.6135024340886
John F. Kennedy International Airport,LaGuardia Airport,-1,31,-1.4690095485620658,-1.836261935702582,-1.4174653538756774,-1.2241746238017213
John F. Kennedy International Airport,Detroit Metropolitan Airport,814.37046165196,20,1196.3179842336267,1495.3974802920334,1154.3419146113945,996.9316535280221
