source airport,destination airport,airplane type,flight_hours,total Cost,break even cost per ticket, profit/loss per flight,profit/loss per hour, percent full
John F. Kennedy International Airport,Los Angeles International Airport,Boeing 767-800,4.03249259997136,38157.51825508563,672.972103264297,19045.110522379604,4722.9127023109395,0.4497354497354497
John F. Kennedy International Airport,Los Angeles International Airport,Airbus A200-100,4.293939922387085,30367.20707410119,749.8075820765725,33366.43740240748,7770.58785299875,0.6296296296296297
John F. Kennedy International Airport,Los Angeles International Airport,Airbus A220-300,4.293939922387085,26771.678836723753,557.7433090984115,20636.502436641225,4805.959750170186,0.53125
John F. Kennedy International Airport,Paris Charles de Gaulle Airport,Boeing 737-600,6.184306452166441,45907.68965803817,1285.9296822979882,31248.091279841115,5052.804469108175,0.5042016806722689
John F. Kennedy International Airport,Paris Charles de Gaulle Airport,Boeing 767-800,6.184306452166441,56384.61207254772,994.437602690436,3281.644088878442,530.6406004069931,0.31746031746031744
John F. Kennedy International Airport,Paris Charles de Gaulle Airport,Airbus A200-100,6.585266980383825,44437.24440687894,1097.2159112809616,21395.710269978757,3249.0270073654174,0.4444444444444444
John F. Kennedy International Airport,Paris Charles de Gaulle Airport,Airbus A220-300,6.585266980383825,38923.074715031806,810.897389896496,9730.768678757951,1477.6574294928269,0.375
Miami International Airport,Los Angeles International Airport,Boeing 737-600,3.8226186935777426,29903.8130032111,837.6418208182382,1926.5761878819503,503.99381741075257,0.31932773109243695
Seattle-Tacoma International Airport,Los Angeles International Airport,Boeing 737-600,1.598585016557595,14832.74337778281,415.4830077810311,5941.407011268746,3716.666270313866,0.42016806722689076
Seattle-Tacoma International Airport,Los Angeles International Airport,Airbus A200-100,1.7022295396091314,14452.647118913239,356.85548441761085,3390.127101967304,1991.5804673121525,0.37037037037037035
Seattle-Tacoma International Airport,Los Angeles International Airport,Airbus A220-300,1.7022295396091314,13027.286148152341,271.40179475317376,542.8035895063458,318.87802254388396,0.3125
Phoenix Sky Harbor International Airport,Los Angeles International Airport,Boeing 737-600,0.6126997615947364,8151.933876671211,228.34548674149053,5548.79532781822,9056.304042580012,0.5042016806722689
Phoenix Sky Harbor International Airport,Los Angeles International Airport,Boeing 767-800,0.6126997615947364,9189.917345839014,162.07967100245176,534.8629143080907,872.9608657198564,0.31746031746031744
Phoenix Sky Harbor International Airport,Los Angeles International Airport,Airbus A200-100,0.6524242516321973,8006.2519862616955,197.68523422868384,3854.862067459335,5908.52050305528,0.4444444444444444
Phoenix Sky Harbor International Airport,Los Angeles International Airport,Airbus A220-300,0.6524242516321973,7459.944897226009,155.4155186922085,1864.9862243065018,2858.5482830241012,0.375
Phoenix Sky Harbor International Airport,Paris Charles de Gaulle Airport,Boeing 737-600,9.450200537058825,68038.88202767677,1905.8510371898255,13912.71257148574,1472.2134749339168,0.36134453781512604
Phoenix Sky Harbor International Airport,Paris Charles de Gaulle Airport,Airbus A200-100,10.062905846604398,65791.90371091617,1624.4914496522513,4061.2286241306283,403.584082574025,0.31851851851851853
Newark Liberty International Airport,O'Hare International Airport,Boeing 737-600,1.1861304837618665,12037.762777751359,337.19223467090643,2798.695547768524,2359.517427536585,0.3697478991596639
Newark Liberty International Airport,O'Hare International Airport,Airbus A200-100,1.2630334491925808,11755.736013619735,290.2650867560428,1015.9278036461492,804.3554224914639,0.32592592592592595
Newark Liberty International Airport,Los Angeles International Airport,Boeing 737-600,3.998860669306984,31098.109256268413,871.0954973744655,42945.00802056115,10739.310911776194,0.7142857142857143
Newark Liberty International Airport,Los Angeles International Airport,Boeing 767-800,3.998860669306984,37872.63657033552,667.9477349265524,18902.920898421435,4727.076650484392,0.4497354497354497
Newark Liberty International Airport,Los Angeles International Airport,Airbus A200-100,4.25812745995436,30147.298405171285,744.3777383992909,33124.80935876844,7779.196294683834,0.6296296296296297
Newark Liberty International Airport,Los Angeles International Airport,Airbus A220-300,4.25812745995436,26581.757713557014,553.7866190324378,20490.1049042002,4811.99895890853,0.53125
Newark Liberty International Airport,Paris Charles de Gaulle Airport,Boeing 737-600,6.209657899766697,46079.48266451853,1290.7418113310514,31365.02601534455,5051.007079878421,0.5042016806722689
Newark Liberty International Airport,Paris Charles de Gaulle Airport,Boeing 767-800,6.209657899766697,56599.35333064816,998.224926466458,3294.142257339314,530.4869141765569,0.31746031746031744
Newark Liberty International Airport,Paris Charles de Gaulle Airport,Airbus A200-100,6.612262093268054,44603.009588570516,1101.3088787301363,21475.523135237665,3247.833015739334,0.4444444444444444
Newark Liberty International Airport,Paris Charles de Gaulle Airport,Airbus A220-300,6.612262093268054,39066.235553765444,813.8799073701134,9766.55888844136,1477.0374723023601,0.375
San Francisco International Airport,Dallas/Fort Worth International Airport,Boeing 737-600,2.45562289114351,20640.424085576517,578.1631396520033,751.6120815476061,306.0779748626642,0.31092436974789917
