Origin Airport,Destination Airport,Flight Time (Minutes)
Seattle-Tacoma International Airport,Newark Liberty International Airport,390.94920350740716
Seattle-Tacoma International Airport,San Francisco International Airport,150.92687238163344
Seattle-Tacoma International Airport,George Bush Intercontinental Airport,319.38809582290037
Seattle-Tacoma International Airport,Logan International Airport,403.86133558420653
Seattle-Tacoma International Airport,Fort Lauderdale-Hollywood International Airport,434.8963123125601
Seattle-Tacoma International Airport,Minneapolis-Saint Paul International Airport,248.32995354984695
Seattle-Tacoma International Airport,LaGuardia Airport,392.5275811649544
Seattle-Tacoma International Airport,Detroit Metropolitan Airport,326.2034654218237
Seattle-Tacoma International Airport,Philadelphia International Airport,387.827671935127
Seattle-Tacoma International Airport,Salt Lake City International Airport,152.93105198928296
Seattle-Tacoma International Airport,Ronald Reagan Washington National Airport,381.0535481412002
Seattle-Tacoma International Airport,San Diego International Airport,201.8803861911813
Seattle-Tacoma International Airport,Baltimore/Washington International Airport,381.90768503283937
Seattle-Tacoma International Airport,Tampa International Airport,407.7880418402655
Seattle-Tacoma International Airport,Austin-Bergstrom International Airport,305.39978736688795
Seattle-Tacoma International Airport,Washington Dulles International Airport,377.89736440169474
Seattle-Tacoma International Airport,Nashville International Airport,333.2708106798982
Seattle-Tacoma International Airport,Paris Charles de Gaulle Airport,755.4988422587312
Phoenix Sky Harbor International Airport,Hartsfield-Jackson Atlanta International Airport,282.159755282237
Phoenix Sky Harbor International Airport,Dallas/Fort Worth International Airport,178.8653077234092
Phoenix Sky Harbor International Airport,Denver International Airport,143.3874679100957
Phoenix Sky Harbor International Airport,O'Hare International Airport,256.33150758044206
Phoenix Sky Harbor International Airport,Los Angeles International Airport,110.12867883108242
Phoenix Sky Harbor International Airport,John F. Kennedy International Airport,357.193375358804
Phoenix Sky Harbor International Airport,Harry Reid International Airport,88.78356289667433
Phoenix Sky Harbor International Airport,Orlando International Airport,315.7374743954864
Phoenix Sky Harbor International Airport,Miami International Airport,332.6526597515185
Phoenix Sky Harbor International Airport,Charlotte Douglas International Airport,305.41907834663016
Phoenix Sky Harbor International Airport,Seattle-Tacoma International Airport,207.0294197095343
