source airport,destination airport,Fuel for Boeing 737-600 (Gallons),Fuel for Boeing 767-800 (Gallons),Fuel for Airbus A200-100 (Gallons),Fuel for Airbus A220-300 (Gallons),Fuel for Boeing 747-400 (Gallons)
O'Hare International Airport,Denver International Airport,1603.0096500791237,1959.2340167633736,1469.4255125725304,1335.8413750659363,4007.524125197809
O'Hare International Airport,Los Angeles International Airport,3129.698709886137,3825.187312083056,2868.890484062292,2608.082258238447,7824.246774715341
O'Hare International Airport,John F. Kennedy International Airport,1351.1487549380888,1651.4040338132197,1238.553025359915,1125.9572957817406,3377.8718873452217
O'Hare International Airport,Harry Reid International Airport,2719.977277899071,3324.4166729877534,2493.3125047408153,2266.647731582559,6799.943194747677
O'Hare International Airport,Orlando International Airport,1846.9719142708816,2257.4101174421885,1693.0575880816416,1539.1432618924011,4617.429785677204
O'Hare International Airport,Miami International Airport,2202.897697708798,2692.430519421865,2019.3228895663988,1835.7480814239984,5507.244244271996
O'Hare International Airport,Charlotte Douglas International Airport,1095.954049799896,1339.499394199873,1004.6245456499048,913.2950414999133,2739.88512449974
O'Hare International Airport,Seattle-Tacoma International Airport,3085.035806995006,3770.5993196605637,2827.949489745423,2570.863172495838,7712.589517487516
O'Hare International Airport,Phoenix Sky Harbor International Airport,2589.355276933887,3164.7675606969738,2373.5756705227304,2157.7960641115724,6473.388192334718
O'Hare International Airport,Newark Liberty International Airport,1312.335806805258,1603.9659860953157,1202.9744895714866,1093.613172337715,3280.8395170131453
O'Hare International Airport,San Francisco International Airport,3308.3846041452557,4043.5811828442015,3032.6858871331515,2756.9871701210463,8270.961510363139
O'Hare International Airport,George Bush Intercontinental Airport,1674.0570523564897,2046.069730657932,1534.5522979934492,1395.047543630408,4185.142630891224
O'Hare International Airport,Logan International Airport,1583.4621411225073,1935.3426169275092,1451.506962695632,1319.5517842687561,3958.655352806268
O'Hare International Airport,Fort Lauderdale-Hollywood International Airport,2174.235505380214,2657.398951020262,1993.0492132651964,1811.8629211501782,5435.588763450534
O'Hare International Airport,Minneapolis-Saint Paul International Airport,605.1711897118649,739.6536763145016,554.7402572358762,504.3093247598874,1512.9279742796623
O'Hare International Airport,LaGuardia Airport,1338.8998121091129,1636.4331036889157,1227.324827766687,1115.7498434242607,3347.249530272782
O'Hare International Airport,Detroit Metropolitan Airport,426.9799529604717,521.8643869516876,391.39829021376573,355.8166274670597,1067.4498824011791
O'Hare International Airport,Philadelphia International Airport,1237.3555490711458,1512.3234488647338,1134.2425866485503,1031.1296242259548,3093.388872677864
O'Hare International Airport,Salt Lake City International Airport,2249.335922657651,2749.1883499149067,2061.89126243618,1874.4466022147087,5623.339806644127
O'Hare International Airport,Ronald Reagan Washington National Airport,1116.776601373016,1364.9491794559085,1023.7118845919315,930.6471678108466,2791.94150343254
O'Hare International Airport,San Diego International Airport,3093.0886185948357,3780.4416449492437,2835.331233711933,2577.5738488290294,7732.721546487089
O'Hare International Airport,Baltimore/Washington International Airport,1134.3694056055933,1386.4514957401698,1039.8386218051273,945.307838004661,2835.923514013983
O'Hare International Airport,Tampa International Airport,1859.1730759184575,2272.3226483447816,1704.2419862585862,1549.3108965987144,4647.932689796144
