Origin Airport,Destination Airport,Aircraft,Flight Time (Minutes)
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,Airbus A220-300,200.94446394600257
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,Boeing 737-600,163.19561360241767
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,Boeing 767-800,163.19561360241767
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,Airbus A200-100,168.89573329643878
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,Airbus A220-300,168.89573329643878
Dallas/Fort Worth International Airport,LaGuardia Airport,Boeing 737-600,222.68244884521528
Dallas/Fort Worth International Airport,LaGuardia Airport,Boeing 767-800,222.68244884521528
Dallas/Fort Worth International Airport,LaGuardia Airport,Airbus A200-100,233.61411827896862
Dallas/Fort Worth International Airport,LaGuardia Airport,Airbus A220-300,233.61411827896862
Dallas/Fort Worth International Airport,Detroit Metropolitan Airport,Boeing 737-600,177.95969488659213
Dallas/Fort Worth International Airport,Detroit Metropolitan Airport,Boeing 767-800,177.95969488659213
Dallas/Fort Worth International Airport,Detroit Metropolitan Airport,Airbus A200-100,184.9582367488855
Dallas/Fort Worth International Airport,Detroit Metropolitan Airport,Airbus A220-300,184.9582367488855
Dallas/Fort Worth International Airport,Philadelphia International Airport,Boeing 737-600,213.0506406878896
Dallas/Fort Worth International Airport,Philadelphia International Airport,Boeing 767-800,213.0506406878896
Dallas/Fort Worth International Airport,Philadelphia International Airport,Airbus A200-100,223.13524398922988
Dallas/Fort Worth International Airport,Philadelphia International Airport,Airbus A220-300,223.13524398922988
Dallas/Fort Worth International Airport,Salt Lake City International Airport,Boeing 737-600,176.5829718604428
Dallas/Fort Worth International Airport,Salt Lake City International Airport,Boeing 767-800,176.5829718604428
Dallas/Fort Worth International Airport,Salt Lake City International Airport,Airbus A200-100,183.4604382787369
Dallas/Fort Worth International Airport,Salt Lake City International Airport,Airbus A220-300,183.4604382787369
Dallas/Fort Worth International Airport,Ronald Reagan Washington National Airport,Boeing 737-600,200.6931734791927
Dallas/Fort Worth International Airport,Ronald Reagan Washington National Airport,Boeing 767-800,200.6931734791927
Dallas/Fort Worth International Airport,Ronald Reagan Washington National Airport,Airbus A200-100,209.69100347858233
Dallas/Fort Worth International Airport,Ronald Reagan Washington National Airport,Airbus A220-300,209.69100347858233
Dallas/Fort Worth International Airport,San Diego International Airport,Boeing 737-600,196.12232058262907
Dallas/Fort Worth International Airport,San Diego International Airport,Boeing 767-800,196.12232058262907
Dallas/Fort Worth International Airport,San Diego International Airport,Airbus A200-100,204.71816845969252
Dallas/Fort Worth International Airport,San Diego International Airport,Airbus A220-300,204.71816845969252
