source airport,destination airport,airplane type,total Cost,break even cost per ticket, profit/loss per flight, percent full
Dallas/Fort Worth International Airport,Los Angeles International Airport,Airbus A200-100,17274.904883539835,426.54086132197125,24099.558664691373,0.7185185185185186
Dallas/Fort Worth International Airport,Los Angeles International Airport,Airbus A220-300,15464.690581238949,322.18105377581145,15786.871635014762,0.60625
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,Boeing 737-600,19809.42366025549,554.8858168138793,-388.4200717697131,0.29411764705882354
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,Boeing 767-800,23761.77957531936,419.07900485572065,-9094.014405369138,0.18518518518518517
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,Airbus A200-100,19254.7070405974,475.4248651999358,-2614.8367585996457,0.25925925925925924
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,Airbus A220-300,17174.51971687957,357.8024941016577,-4651.432423321552,0.21875
Dallas/Fort Worth International Airport,Harry Reid International Airport,Boeing 737-600,15769.8162182936,441.7315467309132,-10469.03765752264,0.10084033613445378
Dallas/Fort Worth International Airport,Harry Reid International Airport,Boeing 767-800,18712.270272867,330.02240340153446,-14752.001432048588,0.06349206349206349
Dallas/Fort Worth International Airport,Harry Reid International Airport,Airbus A200-100,15356.840210634176,379.1812397687451,-10806.665333409235,0.08888888888888889
Dallas/Fort Worth International Airport,Harry Reid International Airport,Airbus A220-300,13808.180181911333,287.6704204564861,-10356.1351364335,0.075
Dallas/Fort Worth International Airport,Orlando International Airport,Boeing 737-600,15161.246242716712,424.6847687035494,-9215.65948086702,0.11764705882352941
Dallas/Fort Worth International Airport,Orlando International Airport,Boeing 767-800,17951.557803395892,316.60595773184997,-13519.074395149994,0.07407407407407407
Dallas/Fort Worth International Airport,Orlando International Airport,Airbus A200-100,14769.623567533672,364.6820633958931,-9664.074679991169,0.1037037037037037
Dallas/Fort Worth International Airport,Orlando International Airport,Airbus A220-300,13301.038535597261,277.1049694916096,-9421.568962714726,0.0875
Dallas/Fort Worth International Airport,Miami International Airport,Boeing 737-600,16728.345897106366,468.5811175660047,-9231.048016050292,0.13445378151260504
Dallas/Fort Worth International Airport,Miami International Airport,Boeing 767-800,19910.432371382958,351.1540100773009,-14291.968210146144,0.08465608465608465
Dallas/Fort Worth International Airport,Miami International Airport,Airbus A200-100,16281.737269137724,402.0182041762401,-9849.446002317884,0.11851851851851852
Dallas/Fort Worth International Airport,Miami International Airport,Airbus A220-300,14606.954914255306,304.3115607136522,-9737.96994283687,0.1
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,Boeing 737-600,14596.265724724446,408.8589838858389,-8872.239950322702,0.11764705882352941
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,Boeing 767-800,17245.332155905562,304.1504789401334,-12987.225450743696,0.07407407407407407
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,Airbus A200-100,14224.466927365695,351.22140561396776,-9307.367248770146,0.1037037037037037
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,Airbus A220-300,12830.221437270371,267.29627994313273,-9088.073518066512,0.0875
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,Boeing 737-600,22454.368164257136,628.9738981584633,-9245.916302929407,0.17647058823529413
