aircraft tail number,flight number,source airport,destination airport,departure time,arrival time,number of passengers
N00005,1505,Charlotte Douglas International Airport,Philadelphia International Airport,5928,6059,22
N00005,1550,Philadelphia International Airport,Minneapolis-Saint Paul International Airport,6085,6273,64
N00005,1605,Minneapolis-Saint Paul International Airport,George Bush Intercontinental Airport,6309,6503,54
N00005,1667,George Bush Intercontinental Airport,San Diego International Airport,6529,6752,80
N00005,1725,San Diego International Airport,Seattle-Tacoma International Airport,6778,6974,36
N00005,1769,Seattle-Tacoma International Airport,San Diego International Airport,7010,7208,36
N00005,1816,San Diego International Airport,George Bush Intercontinental Airport,7234,7460,48
N00005,1868,George Bush Intercontinental Airport,Nashville International Airport,7486,7640,20
N00005,1903,Nashville International Airport,George Bush Intercontinental Airport,7666,7819,10
N00005,1941,George Bush Intercontinental Airport,Fort Lauderdale-Hollywood International Airport,7855,8043,45
N00005,1985,Fort Lauderdale-Hollywood International Airport,Philadelphia International Airport,8069,8260,39
N00005,2016,Philadelphia International Airport,Austin-Bergstrom International Airport,8286,8523,40
N00005,2060,Austin-Bergstrom International Airport,Miami International Airport,8559,8762,25
N00005,2094,Miami International Airport,Newark Liberty International Airport,8788,8990,56
N00005,2131,Newark Liberty International Airport,Seattle-Tacoma International Airport,9026,9373,90
N00005,2185,Seattle-Tacoma International Airport,Minneapolis-Saint Paul International Airport,9399,9635,30
N00005,2216,Minneapolis-Saint Paul International Airport,Ronald Reagan Washington National Airport,9671,9855,15
N00005,2237,Ronald Reagan Washington National Airport,Dallas/Fort Worth International Airport,9881,10094,44
N00006,6,Denver International Airport,Los Angeles International Airport,35,212,61
N00006,77,Los Angeles International Airport,O'Hare International Airport,238,522,119
N00006,150,O'Hare International Airport,Logan International Airport,548,727,46
N00006,186,Logan International Airport,Los Angeles International Airport,763,1132,119
N00006,277,Los Angeles International Airport,San Francisco International Airport,1158,1270,119
N00006,310,San Francisco International Airport,Dallas/Fort Worth International Airport,1306,1552,50
N00006,383,Dallas/Fort Worth International Airport,O'Hare International Airport,1578,1752,119
N00006,431,O'Hare International Airport,San Francisco International Airport,1788,2078,73
N00006,502,San Francisco International Airport,O'Hare International Airport,2104,2399,119
N00006,590,O'Hare International Airport,Miami International Airport,2435,2652,84
N00006,651,Miami International Airport,Los Angeles International Airport,2678,3019,119
N00006,745,Los Angeles International Airport,Philadelphia International Airport,3055,3411,51
N00006,850,Philadelphia International Airport,Logan International Airport,3437,3542,63
N00006,877,Logan International Airport,O'Hare International Airport,3568,3746,71
N00006,933,O'Hare International Airport,Ronald Reagan Washington National Airport,3782,3933,42
N00006,983,Ronald Reagan Washington National Airport,Newark Liberty International Airport,3959,4049,27
N00006,1013,Newark Liberty International Airport,Charlotte Douglas International Airport,4075,4214,48
N00006,1059,Charlotte Douglas International Airport,Nashville International Airport,4240,4350,12
N00006,1088,Nashville International Airport,Charlotte Douglas International Airport,4376,4487,8
N00006,1125,Charlotte Douglas International Airport,Hartsfield-Jackson Atlanta International Airport,4513,4614,22
